normalized_name	concept_id	display_name
abdominal abscess (disorder)	75100008	Abdominal abscess (disorder)
abdominal aortic aneurysm (disorder)	233985008	Abdominal aortic aneurysm (disorder)
abdominal aortic aneurysm without rupture (disorder)	75878002	Abdominal aortic aneurysm without rupture (disorder)
abdominal bloating (finding)	116289008	Abdominal bloating (finding)
abdominal bruit (finding)	249590007	Abdominal bruit (finding)
abdominal colic (finding)	9991008	Abdominal colic (finding)
abdominal discomfort (finding)	43364001	Abdominal discomfort (finding)
abdominal hysterectomy (procedure)	116141005	Abdominal hysterectomy (procedure)
abdominal mass (finding)	271860004	Abdominal mass (finding)
abdominal pain (finding)	21522001	Abdominal pain (finding)
abdominal pain in pregnancy (finding)	309737007	Abdominal pain in pregnancy (finding)
abdominal pregnancy (disorder)	82661006	Abdominal pregnancy (disorder)
abdominal wall pain (finding)	162042000	Abdominal wall pain (finding)
abdominoplasty (procedure)	177250006	Abdominoplasty (procedure)
abducens nerve disorder (disorder)	398925009	Abducens nerve disorder (disorder)
abnormal auditory perception (disorder)	60331006	Abnormal auditory perception (disorder)
abnormal biochemical finding on antenatal screening of mother (finding)	199734003	Abnormal biochemical finding on antenatal screening of mother (finding)
abnormal cervical papanicolaou smear (finding)	439888000	Abnormal cervical Papanicolaou smear (finding)
abnormal cervical papanicolaou smear with human papillomavirus deoxyribonucleic acid detected (finding)	441667007	Abnormal cervical Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected (finding)
abnormal cervical smear (finding)	309081009	Abnormal cervical smear (finding)
abnormal defecation (finding)	179950008	Abnormal defecation (finding)
abnormal deglutition (finding)	47717004	Abnormal deglutition (finding)
abnormal female sexual function (finding)	28154007	Abnormal female sexual function (finding)
abnormal finding on antenatal screening of mother (finding)	199732004	Abnormal finding on antenatal screening of mother (finding)
abnormal findings on diagnostic imaging of lung (finding)	274533004	Abnormal findings on diagnostic imaging of lung (finding)
abnormal gait (finding)	22325002	Abnormal gait (finding)
abnormal liver function (finding)	75183008	Abnormal liver function (finding)
abnormal male sexual function (finding)	5413009	Abnormal male sexual function (finding)
abnormal posture (finding)	43029002	Abnormal posture (finding)
abnormal renal function (finding)	39539005	Abnormal renal function (finding)
abnormal retraction of eyelid (disorder)	43854003	Abnormal retraction of eyelid (disorder)
abnormal sexual function (finding)	56925008	Abnormal sexual function (finding)
abnormal sputum (finding)	274708000	Abnormal sputum (finding)
abnormal urine (finding)	102866000	Abnormal urine (finding)
abnormal uterine bleeding (disorder)	44991000119100	Abnormal uterine bleeding (disorder)
abnormal vaginal bleeding (finding)	301822002	Abnormal vaginal bleeding (finding)
abnormal vision (finding)	7973008	Abnormal vision (finding)
abnormal voice (finding)	38160000	Abnormal voice (finding)
abnormal weight gain (finding)	161833006	Abnormal weight gain (finding)
abnormal weight loss (finding)	267024001	Abnormal weight loss (finding)
abrasion (disorder)	399963005	Abrasion (disorder)
abrasion of face (disorder)	210987008	Abrasion of face (disorder)
abrasion of skin of lower limb (disorder)	283062009	Abrasion of skin of lower limb (disorder)
abscess (disorder)	128477000	Abscess (disorder)
abscess of axilla (disorder)	13802001	Abscess of axilla (disorder)
abscess of back (disorder)	309083007	Abscess of back (disorder)
abscess of bartholin's gland (disorder)	67624004	Abscess of Bartholin's gland (disorder)
abscess of breast (disorder)	28432003	Abscess of breast (disorder)
abscess of buttock (disorder)	64576003	Abscess of buttock (disorder)
abscess of colon co-occurrent and due to diverticular disease of colon (disorder)	235774002	Abscess of colon co-occurrent and due to diverticular disease of colon (disorder)
abscess of face (disorder)	200751004	Abscess of face (disorder)
abscess of foot (disorder)	301706005	Abscess of foot (disorder)
abscess of liver (disorder)	27916005	Abscess of liver (disorder)
abscess of lung (disorder)	73452002	Abscess of lung (disorder)
abscess of neck (disorder)	6284004	Abscess of neck (disorder)
abscess of scrotum (disorder)	27717006	Abscess of scrotum (disorder)
abscess of skin and/or subcutaneous tissue (disorder)	31928004	Abscess of skin and/or subcutaneous tissue (disorder)
abscess of skin and/or subcutaneous tissue caused by ingrown hair (disorder)	866000008	Abscess of skin and/or subcutaneous tissue caused by ingrown hair (disorder)
abscess of tonsil (disorder)	33261009	Abscess of tonsil (disorder)
abscess of vulva (disorder)	69430001	Abscess of vulva (disorder)
absence of breast (finding)	248802009	Absence of breast (finding)
absence seizure (finding)	79631006	Absence seizure (finding)
absent renal function (disorder)	112066009	Absent renal function (disorder)
academic underachievement (finding)	105419003	Academic underachievement (finding)
acanthosis nigricans (disorder)	402599005	Acanthosis nigricans (disorder)
accelerated coronary artery disease in transplanted heart (disorder)	233844002	Accelerated coronary artery disease in transplanted heart (disorder)
accident caused by electric current (event)	218164000	Accident caused by electric current (event)
accident caused by glass edge (event)	218058005	Accident caused by glass edge (event)
accident caused by hot liquid and vapor, including steam (event)	218130004	Accident caused by hot liquid and vapor, including steam (event)
accident caused by machinery (event)	269716005	Accident caused by machinery (event)
accident due to contact with hot or corrosive substance (event)	242489002	Accident due to contact with hot or corrosive substance (event)
accident due to exposure to weather conditions (event)	242575009	Accident due to exposure to weather conditions (event)
accident while engaged in household activity (event)	79573009	Accident while engaged in household activity (event)
accident while engaged in work-related activity (event)	17542004	Accident while engaged in work-related activity (event)
accidental exposure to metallic lead (event)	242374007	Accidental exposure to metallic lead (event)
accidental fall (event)	217082002	Accidental fall (event)
accidental needle stick injury (disorder)	10850741000119108	Accidental needle stick injury (disorder)
accidental physical contact (event)	55566008	Accidental physical contact (event)
accidental poisoning caused by carbon monoxide (disorder)	420057003	Accidental poisoning caused by carbon monoxide (disorder)
accidentally struck by falling object (event)	217839002	Accidentally struck by falling object (event)
accidentally struck by or against objects or persons (event)	217848007	Accidentally struck by or against objects or persons (event)
accidents caused by cutting and piercing instruments or objects (event)	218016007	Accidents caused by cutting and piercing instruments or objects (event)
accidents caused by hot substance or object, caustic or corrosive material and steam (event)	218129009	Accidents caused by hot substance or object, caustic or corrosive material and steam (event)
accidents caused by knives, swords and daggers (event)	218034006	Accidents caused by knives, swords and daggers (event)
acetaminophen overdose (disorder)	295124009	Acetaminophen overdose (disorder)
achalasia of esophagus (disorder)	45564002	Achalasia of esophagus (disorder)
achilles tendinitis (disorder)	11654001	Achilles tendinitis (disorder)
acidosis (disorder)	51387008	Acidosis (disorder)
acne (disorder)	11381005	Acne (disorder)
acne keloidalis (disorder)	238742005	Acne keloidalis (disorder)
acne vulgaris (disorder)	88616000	Acne vulgaris (disorder)
acontractile detrusor (disorder)	197870000	Acontractile detrusor (disorder)
acoustic neuroma (disorder)	126949007	Acoustic neuroma (disorder)
acquired cavovarus deformity of foot (disorder)	65362007	Acquired cavovarus deformity of foot (disorder)
acquired deformity of ankle and/or foot (disorder)	88562000	Acquired deformity of ankle AND/OR foot (disorder)
acquired deformity of distal interphalangeal joint of finger due to trauma (disorder)	64298006	Acquired deformity of distal interphalangeal joint of finger due to trauma (disorder)
acquired deformity of hip joint (disorder)	1156014009	Acquired deformity of hip joint (disorder)
acquired deformity of hip region (disorder)	1156015005	Acquired deformity of hip region (disorder)
acquired deformity of joint of foot (disorder)	240244006	Acquired deformity of joint of foot (disorder)
acquired deformity of nose (disorder)	18283000	Acquired deformity of nose (disorder)
acquired genu valgum (disorder)	52012001	Acquired genu valgum (disorder)
acquired hallux rigidus (disorder)	6654000	Acquired hallux rigidus (disorder)
acquired hallux valgus (disorder)	65358001	Acquired hallux valgus (disorder)
acquired hemolytic anemia (disorder)	4854004	Acquired hemolytic anemia (disorder)
acquired horner syndrome (disorder)	721537005	Acquired Horner syndrome (disorder)
acquired hypothyroidism (disorder)	111566002	Acquired hypothyroidism (disorder)
acquired immune deficiency syndrome (disorder)	62479008	Acquired immune deficiency syndrome (disorder)
acquired kyphosis (disorder)	413428007	Acquired kyphosis (disorder)
acquired nasolacrimal duct stenosis (disorder)	193995004	Acquired nasolacrimal duct stenosis (disorder)
acquired obstruction of pylorus (disorder)	416605008	Acquired obstruction of pylorus (disorder)
acquired pancytopenia (disorder)	5876000	Acquired pancytopenia (disorder)
acquired plantar keratoderma (disorder)	399901005	Acquired plantar keratoderma (disorder)
acquired scoliosis (disorder)	111266001	Acquired scoliosis (disorder)
acquired spondylolysis (disorder)	245867000	Acquired spondylolysis (disorder)
acquired thrombocytopenia (disorder)	74576004	Acquired thrombocytopenia (disorder)
acquired trigger finger (disorder)	1539003	Acquired trigger finger (disorder)
acromegaly (disorder)	74107003	Acromegaly (disorder)
actinic cheilitis (disorder)	46795000	Actinic cheilitis (disorder)
actinic keratosis (disorder)	201101007	Actinic keratosis (disorder)
active advance directive (copy within chart) (finding)	310305009	Active advance directive (copy within chart) (finding)
active infantile autism (disorder)	191689008	Active infantile autism (disorder)
active living will (finding)	425395001	Active living will (finding)
active range of joint movement reduced (finding)	298222004	Active range of joint movement reduced (finding)
activity intolerance (finding)	77427003	Activity intolerance (finding)
acute alcoholic liver disease (disorder)	9953008	Acute alcoholic liver disease (disorder)
acute and chronic cholecystitis (disorder)	396335001	Acute and chronic cholecystitis (disorder)
acute and subacute liver necrosis (disorder)	197268000	Acute and subacute liver necrosis (disorder)
acute angle closure (disorder)	1111451000000106	Acute angle closure (disorder)
acute anterior uveitis (disorder)	4927003	Acute anterior uveitis (disorder)
acute anteroseptal myocardial infarction (disorder)	62695002	Acute anteroseptal myocardial infarction (disorder)
acute appendicitis (disorder)	85189001	Acute appendicitis (disorder)
acute appendicitis with generalized peritonitis (disorder)	28845006	Acute appendicitis with generalized peritonitis (disorder)
acute appendicitis with peritoneal abscess (disorder)	51036000	Acute appendicitis with peritoneal abscess (disorder)
acute atopic conjunctivitis (disorder)	67678004	Acute atopic conjunctivitis (disorder)
acute bronchiolitis (disorder)	5505005	Acute bronchiolitis (disorder)
acute bronchiolitis caused by respiratory syncytial virus (disorder)	195739001	Acute bronchiolitis caused by respiratory syncytial virus (disorder)
acute bronchitis (disorder)	10509002	Acute bronchitis (disorder)
acute bronchitis co-occurrent with wheeze (disorder)	785745000	Acute bronchitis co-occurrent with wheeze (disorder)
acute cardiac pulmonary edema (disorder)	360371003	Acute cardiac pulmonary edema (disorder)
acute cerebrovascular insufficiency (disorder)	29322000	Acute cerebrovascular insufficiency (disorder)
acute cholangitis (disorder)	6215006	Acute cholangitis (disorder)
acute cholecystitis (disorder)	65275009	Acute cholecystitis (disorder)
acute conjunctivitis (disorder)	53726008	Acute conjunctivitis (disorder)
acute cor pulmonale (disorder)	49584005	Acute cor pulmonale (disorder)
acute coronary syndrome (disorder)	394659003	Acute coronary syndrome (disorder)
acute cystitis (disorder)	68226007	Acute cystitis (disorder)
acute duodenal ulcer (disorder)	196652006	Acute duodenal ulcer (disorder)
acute duodenal ulcer with hemorrhage (disorder)	12847006	Acute duodenal ulcer with hemorrhage (disorder)
acute duodenal ulcer with perforation (disorder)	61347001	Acute duodenal ulcer with perforation (disorder)
acute epididymitis (disorder)	43491000	Acute epididymitis (disorder)
acute epiglottitis (disorder)	29608009	Acute epiglottitis (disorder)
acute esophagitis (disorder)	409656006	Acute esophagitis (disorder)
acute exacerbation of bronchiectasis (disorder)	445378003	Acute exacerbation of bronchiectasis (disorder)
acute exacerbation of chronic obstructive pulmonary disease (disorder)	195951007	Acute exacerbation of chronic obstructive pulmonary disease (disorder)
acute exacerbation of chronic schizoaffective schizophrenia (disorder)	191572009	Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
acute exudative otitis media (disorder)	19399000	Acute exudative otitis media (disorder)
acute febrile mucocutaneous lymph node syndrome (disorder)	75053002	Acute febrile mucocutaneous lymph node syndrome (disorder)
acute follicular conjunctivitis (disorder)	41308008	Acute follicular conjunctivitis (disorder)
acute frontal sinusitis (disorder)	91038008	Acute frontal sinusitis (disorder)
acute gastric mucosal erosion (disorder)	18665000	Acute gastric mucosal erosion (disorder)
acute gastric ulcer (disorder)	95529005	Acute gastric ulcer (disorder)
acute gastric ulcer with hemorrhage (disorder)	89748001	Acute gastric ulcer with hemorrhage (disorder)
acute gastric ulcer with perforation (disorder)	19850005	Acute gastric ulcer with perforation (disorder)
acute gastritis (disorder)	25458004	Acute gastritis (disorder)
acute gingivitis (disorder)	31642005	Acute gingivitis (disorder)
acute hepatic failure (disorder)	197270009	Acute hepatic failure (disorder)
acute hepatitis (disorder)	37871000	Acute hepatitis (disorder)
acute hepatitis c (disorder)	235866006	Acute hepatitis C (disorder)
acute infectious conjunctivitis (disorder)	719860006	Acute infectious conjunctivitis (disorder)
acute infective exacerbation of chronic obstructive pulmonary disease (disorder)	285381006	Acute infective exacerbation of chronic obstructive pulmonary disease (disorder)
acute injury of anterior cruciate ligament (disorder)	438582003	Acute injury of anterior cruciate ligament (disorder)
acute intoxication (disorder)	1149334009	Acute intoxication (disorder)
acute ischemic heart disease (disorder)	413439005	Acute ischemic heart disease (disorder)
acute kidney injury (disorder)	14669001	Acute kidney injury (disorder)
acute laryngitis (disorder)	6655004	Acute laryngitis (disorder)
acute leukemia, disease (disorder)	91855006	Acute leukemia, disease (disorder)
acute low back pain (finding)	278862001	Acute low back pain (finding)
acute lower urinary tract infection (disorder)	431737008	Acute lower urinary tract infection (disorder)
acute lymphoid leukemia in remission (disorder)	91856007	Acute lymphoid leukemia in remission (disorder)
acute lymphoid leukemia, disease (disorder)	91857003	Acute lymphoid leukemia, disease (disorder)
acute maxillary sinusitis (disorder)	68272006	Acute maxillary sinusitis (disorder)
acute meniscal tear, lateral (disorder)	208921000	Acute meniscal tear, lateral (disorder)
acute meniscal tear, medial (disorder)	269113006	Acute meniscal tear, medial (disorder)
acute myeloid leukemia (disorder)	91861009	Acute myeloid leukemia (disorder)
acute myeloid leukemia in remission (disorder)	91860005	Acute myeloid leukemia in remission (disorder)
acute myeloid leukemia with maturation, fab m2 (disorder)	359648001	Acute myeloid leukemia with maturation, FAB M2 (disorder)
acute myelomonocytic leukemia, fab m4 (disorder)	110005000	Acute myelomonocytic leukemia, FAB M4 (disorder)
acute myocardial infarction (disorder)	57054005	Acute myocardial infarction (disorder)
acute myocardial infarction of anterior wall (disorder)	54329005	Acute myocardial infarction of anterior wall (disorder)
acute myocardial infarction of inferior wall (disorder)	73795002	Acute myocardial infarction of inferior wall (disorder)
acute myocardial infarction of lateral wall (disorder)	58612006	Acute myocardial infarction of lateral wall (disorder)
acute non-q wave infarction (disorder)	307140009	Acute non-Q wave infarction (disorder)
acute non-st segment elevation myocardial infarction (disorder)	401314000	Acute non-ST segment elevation myocardial infarction (disorder)
acute non-suppurative serous otitis media (disorder)	194240006	Acute non-suppurative serous otitis media (disorder)
acute osteomyelitis (disorder)	409780002	Acute osteomyelitis (disorder)
acute osteomyelitis of ankle and/or foot (disorder)	268017000	Acute osteomyelitis of ankle and/or foot (disorder)
acute otitis externa (disorder)	30250000	Acute otitis externa (disorder)
acute otitis media (disorder)	3110003	Acute otitis media (disorder)
acute pain (finding)	274663001	Acute pain (finding)
acute pancreatitis (disorder)	197456007	Acute pancreatitis (disorder)
acute pelvic inflammatory disease (disorder)	237037006	Acute pelvic inflammatory disease (disorder)
acute peptic ulcer (disorder)	196682000	Acute peptic ulcer (disorder)
acute peptic ulcer with hemorrhage (disorder)	12274003	Acute peptic ulcer with hemorrhage (disorder)
acute pericarditis (disorder)	15555002	Acute pericarditis (disorder)
acute periodontitis (disorder)	21638000	Acute periodontitis (disorder)
acute pharyngitis (disorder)	363746003	Acute pharyngitis (disorder)
acute poliomyelitis (disorder)	398102009	Acute poliomyelitis (disorder)
acute posterior myocardial infarction (disorder)	233838001	Acute posterior myocardial infarction (disorder)
acute promyelocytic leukemia, fab m3 (disorder)	110004001	Acute promyelocytic leukemia, FAB M3 (disorder)
acute prostatitis (disorder)	79411002	Acute prostatitis (disorder)
acute pulmonary edema (disorder)	40541001	Acute pulmonary edema (disorder)
acute pyelonephritis (disorder)	36689008	Acute pyelonephritis (disorder)
acute recurrent pancreatitis (disorder)	197458008	Acute recurrent pancreatitis (disorder)
acute respiratory distress syndrome (disorder)	67782005	Acute respiratory distress syndrome (disorder)
acute respiratory failure (disorder)	65710008	Acute respiratory failure (disorder)
acute retention of urine (disorder)	236648008	Acute retention of urine (disorder)
acute schizophrenia-like psychotic disorder (disorder)	278853003	Acute schizophrenia-like psychotic disorder (disorder)
acute severe exacerbation of asthma (disorder)	708090002	Acute severe exacerbation of asthma (disorder)
acute sinusitis (disorder)	15805002	Acute sinusitis (disorder)
acute situational disturbance (disorder)	192041001	Acute situational disturbance (disorder)
acute st segment elevation myocardial infarction (disorder)	401303003	Acute ST segment elevation myocardial infarction (disorder)
acute stress disorder (disorder)	67195008	Acute stress disorder (disorder)
acute subendocardial infarction (disorder)	70422006	Acute subendocardial infarction (disorder)
acute suppuration of nasal sinus (disorder)	80600003	Acute suppuration of nasal sinus (disorder)
acute suppurative otitis media with spontaneous rupture of ear drum (disorder)	86279000	Acute suppurative otitis media with spontaneous rupture of ear drum (disorder)
acute tonsillitis (disorder)	17741008	Acute tonsillitis (disorder)
acute transient psychotic disorder (disorder)	231489001	Acute transient psychotic disorder (disorder)
acute transudative otitis media (disorder)	35183001	Acute transudative otitis media (disorder)
acute type b viral hepatitis (disorder)	76795007	Acute type B viral hepatitis (disorder)
acute upper respiratory infection (disorder)	54398005	Acute upper respiratory infection (disorder)
acute urinary tract infection (disorder)	431309003	Acute urinary tract infection (disorder)
acute urticaria (disorder)	402408009	Acute urticaria (disorder)
acute viral pharyngitis (disorder)	195662009	Acute viral pharyngitis (disorder)
acute-on-chronic renal failure (disorder)	236433006	Acute-on-chronic renal failure (disorder)
acute-on-chronic respiratory failure (disorder)	67905004	Acute-on-chronic respiratory failure (disorder)
addison's disease (disorder)	363732003	Addison's disease (disorder)
adenocarcinoma of endometrium (disorder)	123845008	Adenocarcinoma of endometrium (disorder)
adenocarcinoma of large intestine (disorder)	408645001	Adenocarcinoma of large intestine (disorder)
adenocarcinoma of lung (disorder)	254626006	Adenocarcinoma of lung (disorder)
adenocarcinoma of prostate (disorder)	399490008	Adenocarcinoma of prostate (disorder)
adenocarcinoma of rectum (disorder)	254582000	Adenocarcinoma of rectum (disorder)
adenocarcinoma of stomach (disorder)	408647009	Adenocarcinoma of stomach (disorder)
adenoid excision (procedure)	119954001	Adenoid excision (procedure)
adenolymphoma (disorder)	422470007	Adenolymphoma (disorder)
adenoma of rectum (disorder)	399730005	Adenoma of rectum (disorder)
adenomatous polyp of cervix uteri (disorder)	255196008	Adenomatous polyp of cervix uteri (disorder)
adenomatous polyp of colon (disorder)	428054006	Adenomatous polyp of colon (disorder)
adenoviral pneumonia (disorder)	41207000	Adenoviral pneumonia (disorder)
adhesions of foreskin (disorder)	249263004	Adhesions of foreskin (disorder)
adhesive capsulitis of shoulder (disorder)	399114005	Adhesive capsulitis of shoulder (disorder)
adhesive middle ear disease (disorder)	7699004	Adhesive middle ear disease (disorder)
adjust hearing aid settings (procedure)	302171008	Adjust hearing aid settings (procedure)
adjustment disorder (disorder)	17226007	Adjustment disorder (disorder)
adjustment disorder with anxious mood (disorder)	47372000	Adjustment disorder with anxious mood (disorder)
adjustment disorder with depressed mood (disorder)	57194009	Adjustment disorder with depressed mood (disorder)
adjustment disorder with mixed disturbance of emotions and conduct (disorder)	66381006	Adjustment disorder with mixed disturbance of emotions AND conduct (disorder)
adjustment disorder with mixed emotional features (disorder)	55668003	Adjustment disorder with mixed emotional features (disorder)
adjustment reaction of adolescence (disorder)	386822001	Adjustment reaction of adolescence (disorder)
administration of prophylactic antibiotic for subacute bacterial endocarditis (procedure)	426931009	Administration of prophylactic antibiotic for subacute bacterial endocarditis (procedure)
administration of vaccine product containing only bordetella pertussis and clostridium tetani and corynebacterium diphtheriae antigens (procedure)	399014008	Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure)
administration of vaccine product containing only clostridium tetani and corynebacterium diphtheriae antigens (procedure)	73152006	Administration of vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens (procedure)
administration of vaccine product containing only clostridium tetani antigen (procedure)	127786006	Administration of vaccine product containing only Clostridium tetani antigen (procedure)
administration of vaccine product containing only haemophilus influenzae type b antigen (procedure)	127787002	Administration of vaccine product containing only Haemophilus influenzae type b antigen (procedure)
administration of vaccine product containing only hepatitis a virus antigen (procedure)	243789007	Administration of vaccine product containing only Hepatitis A virus antigen (procedure)
administration of vaccine product containing only human poliovirus antigen (procedure)	72093006	Administration of vaccine product containing only Human poliovirus antigen (procedure)
administration of vaccine product containing only influenza virus antigen (procedure)	86198006	Administration of vaccine product containing only Influenza virus antigen (procedure)
administration of vaccine product containing only live attenuated human alphaherpesvirus 3 antigen (procedure)	871898007	Administration of vaccine product containing only live attenuated Human alphaherpesvirus 3 antigen (procedure)
administration of vaccine product containing only live attenuated mycobacterium bovis antigen (procedure)	42284007	Administration of vaccine product containing only live attenuated Mycobacterium bovis antigen (procedure)
administration of vaccine product containing only measles morbillivirus and mumps orthorubulavirus and rubella virus antigens (procedure)	38598009	Administration of vaccine product containing only Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (procedure)
administration of vaccine product containing only neisseria meningitidis antigen (procedure)	41088001	Administration of vaccine product containing only Neisseria meningitidis antigen (procedure)
administration of vaccine product containing only rabies lyssavirus antigen (procedure)	34631000	Administration of vaccine product containing only Rabies lyssavirus antigen (procedure)
administration of vaccine product containing only streptococcus pneumoniae antigen (procedure)	12866006	Administration of vaccine product containing only Streptococcus pneumoniae antigen (procedure)
administration of vaccine to produce active immunity (procedure)	33879002	Administration of vaccine to produce active immunity (procedure)
administrative procedure (procedure)	14734007	Administrative procedure (procedure)
administrative reason for encounter (finding)	185351004	Administrative reason for encounter (finding)
adrenal carcinoma (disorder)	255035007	Adrenal carcinoma (disorder)
adrenal cortical adenoma (disorder)	302826002	Adrenal cortical adenoma (disorder)
adrenocorticotropic hormone deficiency (disorder)	237692001	Adrenocorticotropic hormone deficiency (disorder)
adult attention deficit hyperactivity disorder (disorder)	444613000	Adult attention deficit hyperactivity disorder (disorder)
adult failure to thrive syndrome (disorder)	129588001	Adult failure to thrive syndrome (disorder)
adult health examination (procedure)	268565007	Adult health examination (procedure)
adult victim of abuse (finding)	406137001	Adult victim of abuse (finding)
advanced maternal age gravida (finding)	416413003	Advanced maternal age gravida (finding)
adverse reaction caused by drug (disorder)	62014003	Adverse reaction caused by drug (disorder)
adverse reaction caused by food (disorder)	370540009	Adverse reaction caused by food (disorder)
affective psychosis (disorder)	441704009	Affective psychosis (disorder)
afibrinogenemia (disorder)	278504009	Afibrinogenemia (disorder)
after-cataract not obscuring vision following extraction of cataract (disorder)	51044000	After-cataract not obscuring vision following extraction of cataract (disorder)
after-cataract with vision obscured following extraction of cataract (disorder)	193615000	After-cataract with vision obscured following extraction of cataract (disorder)
aftercare (regime/therapy)	413467001	Aftercare (regime/therapy)
age-related cognitive decline (finding)	102891000	Age-related cognitive decline (finding)
age-related macular degeneration (disorder)	267718000	Age-related macular degeneration (disorder)
agenesis of left kidney (disorder)	762907005	Agenesis of left kidney (disorder)
agenesis of right kidney (disorder)	762908000	Agenesis of right kidney (disorder)
aggressive behavior (finding)	61372001	Aggressive behavior (finding)
aggressive fibromatosis of abdomen (disorder)	400153009	Aggressive fibromatosis of abdomen (disorder)
aggressive unsocial conduct disorder (disorder)	192082001	Aggressive unsocial conduct disorder (disorder)
agitated depression (disorder)	83458005	Agitated depression (disorder)
agoraphobia (disorder)	70691001	Agoraphobia (disorder)
agranulocytosis (disorder)	17182001	Agranulocytosis (disorder)
alanine aminotransferase above reference range (finding)	409673008	Alanine aminotransferase above reference range (finding)
albuminuria (finding)	274769005	Albuminuria (finding)
alcohol consumption screening (procedure)	171208001	Alcohol consumption screening (procedure)
alcohol dependence (disorder)	66590003	Alcohol dependence (disorder)
alcohol intoxication (disorder)	25702006	Alcohol intoxication (disorder)
alcohol intoxication delirium (disorder)	18653004	Alcohol intoxication delirium (disorder)
alcohol withdrawal delirium (disorder)	8635005	Alcohol withdrawal delirium (disorder)
alcohol withdrawal syndrome (disorder)	191480000	Alcohol withdrawal syndrome (disorder)
alcoholic cirrhosis (disorder)	420054005	Alcoholic cirrhosis (disorder)
alcoholic fatty liver (disorder)	50325005	Alcoholic fatty liver (disorder)
alcoholic gastritis (disorder)	2043009	Alcoholic gastritis (disorder)
alcoholic hepatitis (disorder)	235875008	Alcoholic hepatitis (disorder)
alcoholic liver damage (disorder)	41309000	Alcoholic liver damage (disorder)
alcoholic polyneuropathy (disorder)	7916009	Alcoholic polyneuropathy (disorder)
alcoholism (disorder)	7200002	Alcoholism (disorder)
alkaline phosphatase above reference range (finding)	274770006	Alkaline phosphatase above reference range (finding)
allergen immunotherapy (regime/therapy)	182678001	Allergen immunotherapy (regime/therapy)
allergic asthma (disorder)	389145006	Allergic asthma (disorder)
allergic contact dermatitis (disorder)	238575004	Allergic contact dermatitis (disorder)
allergic disposition (finding)	609328004	Allergic disposition (finding)
allergic fungal sinusitis (disorder)	425011002	Allergic fungal sinusitis (disorder)
allergic granulomatosis angiitis (disorder)	82275008	Allergic granulomatosis angiitis (disorder)
allergic reaction caused by bee sting (disorder)	282095007	Allergic reaction caused by bee sting (disorder)
allergic rhinitis (disorder)	61582004	Allergic rhinitis (disorder)
allergic rhinitis caused by pollen (disorder)	21719001	Allergic rhinitis caused by pollen (disorder)
allergic urticaria (disorder)	40178009	Allergic urticaria (disorder)
allergy to drug (finding)	416098002	Allergy to drug (finding)
allergy to dust mite protein (finding)	232350006	Allergy to dust mite protein (finding)
allergy to food (finding)	414285001	Allergy to food (finding)
allergy to peanut (finding)	91935009	Allergy to peanut (finding)
allergy to penicillin (finding)	91936005	Allergy to penicillin (finding)
allergy to soy protein (finding)	782594005	Allergy to soy protein (finding)
allogeneic bone marrow transplantation (procedure)	58390007	Allogeneic bone marrow transplantation (procedure)
allogeneic peripheral blood stem cell transplant (procedure)	425843001	Allogeneic peripheral blood stem cell transplant (procedure)
allogeneic unrelated bone marrow transplant (procedure)	234335003	Allogeneic unrelated bone marrow transplant (procedure)
alopecia (disorder)	56317004	Alopecia (disorder)
alopecia areata (disorder)	68225006	Alopecia areata (disorder)
alpha thalassemia (disorder)	68913001	Alpha thalassemia (disorder)
alpha trait thalassemia (disorder)	191187006	Alpha trait thalassemia (disorder)
alpha-1-antitrypsin deficiency (disorder)	30188007	Alpha-1-antitrypsin deficiency (disorder)
already on aspirin (finding)	405748007	Already on aspirin (finding)
alteration in nutrition: less than body requirements (finding)	88202002	Alteration in nutrition: less than body requirements (finding)
alteration in parenting (finding)	406161008	Alteration in parenting (finding)
altered bowel function (finding)	88111009	Altered bowel function (finding)
altered mental status (finding)	419284004	Altered mental status (finding)
alternating esotropia (disorder)	39837002	Alternating esotropia (disorder)
alternating exotropia (disorder)	37214009	Alternating exotropia (disorder)
alternating exotropia with v pattern (disorder)	57805002	Alternating exotropia with V pattern (disorder)
alveolar hypoventilation (finding)	15993004	Alveolar hypoventilation (finding)
alveolar periostitis (disorder)	251331003	Alveolar periostitis (disorder)
alzheimer's disease (disorder)	26929004	Alzheimer's disease (disorder)
amaurosis fugax (disorder)	88032003	Amaurosis fugax (disorder)
amblyopia (disorder)	387742006	Amblyopia (disorder)
amenorrhea (finding)	14302001	Amenorrhea (finding)
amfetamine and/or amfetamine derivative dependence in remission (disorder)	1231325000	Amfetamine and/or amfetamine derivative dependence in remission (disorder)
amnesia (finding)	48167000	Amnesia (finding)
amniocentesis (procedure)	34536000	Amniocentesis (procedure)
amniotic fluid -meconium stain (finding)	168092006	Amniotic fluid -meconium stain (finding)
amphetamine dependence (disorder)	21647008	Amphetamine dependence (disorder)
amputated above knee (finding)	299647001	Amputated above knee (finding)
amputated big toe (finding)	308684007	Amputated big toe (finding)
