normalized_name	concept_id	display_name
hemorrhage of rectum and anus (disorder)	266464001	Hemorrhage of rectum and anus (disorder)
hemorrhage of urethra (disorder)	405555006	Hemorrhage of urethra (disorder)
hemorrhagic complication of pregnancy (disorder)	106004004	Hemorrhagic complication of pregnancy (disorder)
hemorrhagic cystitis (disorder)	87696004	Hemorrhagic cystitis (disorder)
hemorrhagic diarrhea (disorder)	95545007	Hemorrhagic diarrhea (disorder)
hemorrhagic duodenitis (disorder)	95531001	Hemorrhagic duodenitis (disorder)
hemorrhagic esophagitis (disorder)	60698006	Hemorrhagic esophagitis (disorder)
hemorrhoidectomy (procedure)	24496007	Hemorrhoidectomy (procedure)
hemorrhoids (disorder)	70153002	Hemorrhoids (disorder)
hemospermia (finding)	34615008	Hemospermia (finding)
hemothorax (disorder)	31892009	Hemothorax (disorder)
hepatic encephalopathy (disorder)	13920009	Hepatic encephalopathy (disorder)
hepatic failure (disorder)	59927004	Hepatic failure (disorder)
hepatic vein thrombosis (disorder)	38739001	Hepatic vein thrombosis (disorder)
hepatitis a immune (finding)	278971009	Hepatitis A immune (finding)
hepatitis a virus antibody, total measurement (procedure)	104374007	Hepatitis A virus antibody, total measurement (procedure)
hepatitis b carrier (finding)	235871004	Hepatitis B carrier (finding)
hepatitis b core antibody measurement (procedure)	59582004	Hepatitis B core antibody measurement (procedure)
hepatitis b immune (finding)	271511000	Hepatitis B immune (finding)
hepatitis b surface antibody measurement (procedure)	65911000	Hepatitis B surface antibody measurement (procedure)
hepatitis c antibody measurement (procedure)	64411004	Hepatitis C antibody measurement (procedure)
hepatitis c carrier (finding)	235872006	Hepatitis C carrier (finding)
hepatitis c screening (procedure)	413107006	Hepatitis C screening (procedure)
hepatoblastoma (disorder)	109843000	Hepatoblastoma (disorder)
hepatorenal syndrome (disorder)	51292008	Hepatorenal syndrome (disorder)
hepatosplenomegaly (disorder)	36760000	Hepatosplenomegaly (disorder)
hereditary coagulation factor deficiency (disorder)	16922007	Hereditary coagulation factor deficiency (disorder)
hereditary corneal dystrophy (disorder)	77797009	Hereditary corneal dystrophy (disorder)
hereditary essential tremor (disorder)	609559001	Hereditary essential tremor (disorder)
hereditary factor ix deficiency disease (disorder)	41788008	Hereditary factor IX deficiency disease (disorder)
hereditary factor viii deficiency disease (disorder)	28293008	Hereditary factor VIII deficiency disease (disorder)
hereditary motor and sensory neuropathy (disorder)	398100001	Hereditary motor and sensory neuropathy (disorder)
hereditary nonpolyposis colon cancer (disorder)	315058005	Hereditary nonpolyposis colon cancer (disorder)
hereditary peripheral neuropathy (disorder)	65017003	Hereditary peripheral neuropathy (disorder)
hereditary thrombophilia (disorder)	439698008	Hereditary thrombophilia (disorder)
hernia of abdominal cavity (disorder)	52515009	Hernia of abdominal cavity (disorder)
hernia of anterior abdominal wall (disorder)	414396006	Hernia of anterior abdominal wall (disorder)
hernia repair (procedure)	50465008	Hernia repair (procedure)
herniation of nucleus pulposus (disorder)	84857004	Herniation of nucleus pulposus (disorder)
herniation of rectum into vagina (disorder)	447072005	Herniation of rectum into vagina (disorder)
herpangina (disorder)	186659004	Herpangina (disorder)
herpes labialis (disorder)	1475003	Herpes labialis (disorder)
herpes simplex (disorder)	88594005	Herpes simplex (disorder)
herpes simplex dendritic keratitis (disorder)	29943008	Herpes simplex dendritic keratitis (disorder)
herpes simplex disciform keratitis (disorder)	59523007	Herpes simplex disciform keratitis (disorder)
herpes simplex keratitis (disorder)	9389005	Herpes simplex keratitis (disorder)
herpes simplex type 1 infection (disorder)	407451003	Herpes simplex type 1 infection (disorder)
herpes simplex type 2 infection (disorder)	407450002	Herpes simplex type 2 infection (disorder)
herpes zoster (disorder)	4740000	Herpes zoster (disorder)
herpes zoster keratoconjunctivitis (disorder)	42448002	Herpes zoster keratoconjunctivitis (disorder)
herpes zoster ophthalmicus (disorder)	87513003	Herpes zoster ophthalmicus (disorder)
herpesvirus infection (disorder)	23513009	Herpesvirus infection (disorder)
herpetic gingivostomatitis (disorder)	57920007	Herpetic gingivostomatitis (disorder)
herpetic ulceration of vulva (disorder)	59819007	Herpetic ulceration of vulva (disorder)
heterozygous factor v leiden mutation (disorder)	307116001	Heterozygous Factor V Leiden mutation (disorder)
heterozygous thalassemia (disorder)	19442009	Heterozygous thalassemia (disorder)
hiatal hernia (disorder)	84089009	Hiatal hernia (disorder)
hiatal hernia with gastroesophageal reflux (disorder)	371132002	Hiatal hernia with gastroesophageal reflux (disorder)
hiccoughs (finding)	65958008	Hiccoughs (finding)
hidradenitis (disorder)	69741000	Hidradenitis (disorder)
hidradenitis suppurativa (disorder)	59393003	Hidradenitis suppurativa (disorder)
high anal fistula (disorder)	261827001	High anal fistula (disorder)
high birth weight (disorder)	276613009	High birth weight (disorder)
high density lipoprotein deficiency (disorder)	448834003	High density lipoprotein deficiency (disorder)
high frequency conductive hearing loss (disorder)	1268429005	High frequency conductive hearing loss (disorder)
high frequency sensorineural hearing loss (disorder)	1268415009	High frequency sensorineural hearing loss (disorder)
high risk pregnancy (finding)	47200007	High risk pregnancy (finding)
high risk pregnancy due to history of preterm labor (finding)	444661007	High risk pregnancy due to history of preterm labor (finding)
high risk sexual behavior (finding)	102947004	High risk sexual behavior (finding)
hilar lymphadenopathy (disorder)	87500009	Hilar lymphadenopathy (disorder)
hip stiff (finding)	249914008	Hip stiff (finding)
hirsutism (disorder)	399939002	Hirsutism (disorder)
histoplasmosis (disorder)	12962009	Histoplasmosis (disorder)
histoplasmosis with retinitis (disorder)	187058000	Histoplasmosis with retinitis (disorder)
history and physical examination (procedure)	63332003	History AND physical examination (procedure)
history and physical examination, administrative (procedure)	55804002	History and physical examination, administrative (procedure)
history and physical examination, annual for health maintenance (procedure)	78318003	History and physical examination, annual for health maintenance (procedure)
history and physical examination, complete (procedure)	5902003	History and physical examination, complete (procedure)
history and physical examination, immigration (procedure)	103738006	History and physical examination, immigration (procedure)
history and physical examination, occupation (procedure)	103739003	History and physical examination, occupation (procedure)
history and physical examination, pre-employment (procedure)	103737001	History and physical examination, pre-employment (procedure)
history and physical examination, school (procedure)	77150002	History and physical examination, school (procedure)
history and physical examination, sports participation (procedure)	103736005	History and physical examination, sports participation (procedure)
history of abnormal cervical papanicolaou smear (situation)	439956007	History of abnormal cervical Papanicolaou smear (situation)
history of adenomatous polyp of colon (situation)	429047008	History of adenomatous polyp of colon (situation)
history of alcohol use disorder (situation)	1297128004	History of alcohol use disorder (situation)
history of alcoholism (situation)	161466001	History of alcoholism (situation)
history of amputation of finger (situation)	428834009	History of amputation of finger (situation)
history of amputation of foot (situation)	429280009	History of amputation of foot (situation)
history of amputation of hallux (situation)	428835005	History of amputation of hallux (situation)
history of amputation of leg through tibia and fibula (situation)	429372004	History of amputation of leg through tibia and fibula (situation)
history of amputation of lesser toe (situation)	427892008	History of amputation of lesser toe (situation)
history of anemia (situation)	275538002	History of anemia (situation)
history of appendectomy (situation)	428251008	History of appendectomy (situation)
history of artificial eyeglobe (situation)	161675005	History of artificial eyeglobe (situation)
history of artificial joint (situation)	161679004	History of artificial joint (situation)
history of asbestos exposure (situation)	161635002	History of asbestos exposure (situation)
history of atrial fibrillation (situation)	312442005	History of atrial fibrillation (situation)
history of augmentation of breast (situation)	427894009	History of augmentation of breast (situation)
history of bell's palsy (situation)	161483005	History of Bell's palsy (situation)
history of bilateral mastectomy (situation)	428529004	History of bilateral mastectomy (situation)
history of bilateral oophorectomy (situation)	391083006	History of bilateral oophorectomy (situation)
history of bone marrow donation (situation)	275563002	History of bone marrow donation (situation)
history of calculus of kidney (situation)	429025008	History of calculus of kidney (situation)
history of cardiovascular disease (situation)	266995000	History of cardiovascular disease (situation)
history of carotid endarterectomy (situation)	428534000	History of carotid endarterectomy (situation)
history of cataract extraction (situation)	428535004	History of cataract extraction (situation)
history of cerebrovascular accident (situation)	275526006	History of cerebrovascular accident (situation)
history of cerebrovascular accident without residual deficits (situation)	429993008	History of cerebrovascular accident without residual deficits (situation)
history of chickenpox (situation)	161423008	History of chickenpox (situation)
history of cholecystectomy (situation)	428882003	History of cholecystectomy (situation)
history of chronic urinary tract infection (situation)	441547007	History of chronic urinary tract infection (situation)
history of colostomy (situation)	161687003	History of colostomy (situation)
history of cornea recipient (situation)	161670000	History of cornea recipient (situation)
history of coronary artery bypass grafting (situation)	399261000	History of coronary artery bypass grafting (situation)
history of decompression of median nerve (situation)	428848009	History of decompression of median nerve (situation)
history of deep vein thrombosis (situation)	161508001	History of deep vein thrombosis (situation)
history of depression (situation)	161469008	History of depression (situation)
history of diabetes mellitus (situation)	161445009	History of diabetes mellitus (situation)
history of disorder (situation)	312850006	History of disorder (situation)
history of excision of lamina of lumbar vertebra for decompression of spinal cord (situation)	429164009	History of excision of lamina of lumbar vertebra for decompression of spinal cord (situation)
history of fall (situation)	428942009	History of fall (situation)
history of gastrointestinal disease (situation)	266997008	History of gastrointestinal disease (situation)
history of gastrointestinal tract bypass (situation)	267010000	History of gastrointestinal tract bypass (situation)
history of gastrostomy (situation)	161689000	History of gastrostomy (situation)
history of gout (situation)	161451004	History of gout (situation)
history of harvesting of stem cells for allotransplant (situation)	473162000	History of harvesting of stem cells for allotransplant (situation)
history of head injury (situation)	161587009	History of head injury (situation)
history of heart disorder (situation)	275544003	History of heart disorder (situation)
history of heart failure (situation)	161505003	History of heart failure (situation)
history of heart recipient (situation)	161666008	History of heart recipient (situation)
history of hypertension (situation)	161501007	History of hypertension (situation)
history of hypothyroidism (situation)	161443002	History of hypothyroidism (situation)
history of hysterectomy (situation)	161800001	History of hysterectomy (situation)
history of ileostomy (situation)	161686007	History of ileostomy (situation)
history of injury (situation)	161586000	History of injury (situation)
history of intestinal by-pass (situation)	275565009	History of intestinal by-pass (situation)
history of kidney donation (situation)	161659007	History of kidney donation (situation)
history of laser assisted in situ keratomileusis (situation)	428656009	History of laser assisted in situ keratomileusis (situation)
history of live donor partial hepatectomy (situation)	473158006	History of live donor partial hepatectomy (situation)
history of liver recipient (situation)	161671001	History of liver recipient (situation)
history of lower limb amputation (situation)	161622006	History of lower limb amputation (situation)
history of malaria (situation)	161416007	History of malaria (situation)
history of malignant basal cell neoplasm of skin (situation)	428053000	History of malignant basal cell neoplasm of skin (situation)
history of malignant lymphoma (situation)	429014004	History of malignant lymphoma (situation)
history of malignant melanoma (situation)	161432005	History of malignant melanoma (situation)
history of malignant neoplasm of cervix (situation)	429484003	History of malignant neoplasm of cervix (situation)
history of malignant neoplasm of colon (situation)	429699009	History of malignant neoplasm of colon (situation)
history of malignant neoplasm of endometrium (situation)	429089000	History of malignant neoplasm of endometrium (situation)
history of malignant neoplasm of esophagus (situation)	429410000	History of malignant neoplasm of esophagus (situation)
history of malignant neoplasm of ovary (situation)	429090009	History of malignant neoplasm of ovary (situation)
history of malignant neoplasm of prostate (situation)	428262008	History of malignant neoplasm of prostate (situation)
history of malignant neoplasm of thyroid (situation)	429254008	History of malignant neoplasm of thyroid (situation)
history of malignant neoplasm of tongue (situation)	429409005	History of malignant neoplasm of tongue (situation)
history of malignant neoplasm of ureter (situation)	429444007	History of malignant neoplasm of ureter (situation)
history of malignant neoplasm of uterine body (situation)	428941002	History of malignant neoplasm of uterine body (situation)
history of mastectomy (situation)	428540007	History of mastectomy (situation)
history of medullary carcinoma of thyroid (situation)	429016002	History of medullary carcinoma of thyroid (situation)
history of musculoskeletal disease (situation)	267004000	History of musculoskeletal disease (situation)
history of myocardial infarction (situation)	399211009	History of myocardial infarction (situation)
history of neoplasm of urinary bladder (situation)	289917002	History of neoplasm of urinary bladder (situation)
history of non-hodgkins lymphoma (situation)	428046009	History of non-Hodgkins lymphoma (situation)
history of operative procedure on knee (situation)	427749007	History of operative procedure on knee (situation)
history of pacemaker in situ (situation)	275531008	History of pacemaker in situ (situation)
history of papillary adenocarcinoma of thyroid (situation)	429255009	History of papillary adenocarcinoma of thyroid (situation)
history of peptic ulcer (situation)	266998003	History of peptic ulcer (situation)
history of percutaneous transluminal coronary angioplasty (situation)	428308007	History of percutaneous transluminal coronary angioplasty (situation)
history of perinatal problem (situation)	161579008	History of perinatal problem (situation)
history of placement of stent for coronary artery disease (situation)	428375006	History of placement of stent for coronary artery disease (situation)
history of placement of stent in anterior descending branch of left coronary artery (situation)	428912006	History of placement of stent in anterior descending branch of left coronary artery (situation)
history of pneumonia (situation)	161525004	History of pneumonia (situation)
history of poliomyelitis (situation)	161415006	History of poliomyelitis (situation)
history of polyp of colon (situation)	428283002	History of polyp of colon (situation)
history of pregnancy (situation)	271903000	History of pregnancy (situation)
history of primary malignant neoplasm of bronchus (situation)	415077006	History of primary malignant neoplasm of bronchus (situation)
history of primary malignant neoplasm of kidney (situation)	415081006	History of primary malignant neoplasm of kidney (situation)
history of primary malignant neoplasm of lung (situation)	415082004	History of primary malignant neoplasm of lung (situation)
history of primary malignant neoplasm of skin (situation)	765378003	History of primary malignant neoplasm of skin (situation)
history of primary malignant neoplasm of urinary bladder (situation)	415086001	History of primary malignant neoplasm of urinary bladder (situation)
history of pulmonary embolus (situation)	161512007	History of pulmonary embolus (situation)
history of radiation exposure (situation)	161633009	History of radiation exposure (situation)
history of radiation therapy (situation)	429479009	History of radiation therapy (situation)
history of radical hysterectomy (situation)	429290001	History of radical hysterectomy (situation)
history of radical retropubic prostatectomy (situation)	428642007	History of radical retropubic prostatectomy (situation)
history of raised blood lipids (situation)	161450003	History of raised blood lipids (situation)
history of reconstruction of anterior cruciate ligament tear (situation)	429285004	History of reconstruction of anterior cruciate ligament tear (situation)
history of reduction of breast (situation)	428667005	History of reduction of breast (situation)
history of renal dialysis (situation)	161693006	History of renal dialysis (situation)
history of renal transplant (situation)	161665007	History of renal transplant (situation)
history of repair of coarctation of aorta (situation)	428071007	History of repair of coarctation of aorta (situation)
history of repair of inguinal hernia (situation)	428077006	History of repair of inguinal hernia (situation)
history of repair of musculotendinous cuff of shoulder (situation)	428072000	History of repair of musculotendinous cuff of shoulder (situation)
history of replacement of heart valve with prosthesis (situation)	161677002	History of replacement of heart valve with prosthesis (situation)
history of respiratory disease (situation)	161523006	History of respiratory disease (situation)
history of schizophrenia (situation)	161468000	History of schizophrenia (situation)
history of sexually transmitted disease (situation)	275881005	History of sexually transmitted disease (situation)
history of splenectomy (situation)	161626009	History of splenectomy (situation)
history of squamous cell carcinoma of skin (situation)	429024007	History of squamous cell carcinoma of skin (situation)
history of substance use disorder (situation)	1297194009	History of substance use disorder (situation)
history of surgery (situation)	161615003	History of surgery (situation)
history of sustained ventricular tachycardia (situation)	429046004	History of sustained ventricular tachycardia (situation)
history of thrombosis (situation)	275546001	History of thrombosis (situation)
history of thyroidectomy (situation)	428892006	History of thyroidectomy (situation)
